Label;Split;Style;Action;Business Object;Addition;Tags
inconsistencies found;;DES / EVENT;found;inconsistencies;;
incorporate into service invoice;;VO;incorporate;into service invoice;;
increase financialcapability;;VO;increase;financialcapability;;
increase internal credit;;VO;increase;internal credit;;
increase internal credit;;VO;increase;internal credit;;
increment of reminder number by one;;AN;increment;of reminder number by one;;
independent markets;;NA;markets;independent;;
"indicate ""invoice entered correctly""";;VO;indicate;"""invoice entered correctly""";;
"indicate ""invoice entered""";;VO;indicate;"""invoice entered""";;
individual decision;;AN;decision;;;
inflict wounds;;VO;inflict;wounds;;
inform about acceptance;;VO;inform;about acceptance;;
inform about rejection;;VO;inform;about rejection;;
inform ad;;VO;inform;ad;;
inform and send bicycle to sales department;;VO;inform   send;bicycle to sales department;;
inform and send parts to engineering department;;VO;inform   send;parts to engineering department;;
inform bank;;VO;inform;bank;;
inform beneficiary about request rejection;;VO;inform;beneficiary about request rejection;;
inform beneficiary about request rejection;;VO;inform;beneficiary about request rejection;;
inform bill of problem;;VO;inform;bill of problem;;
inform courier about prepared packages for delivery;;VO;inform;courier about prepared packages for delivery;;
inform cu;;VO;inform;cu;;
inform customer;;VO;inform;customer;;
inform customer about delay;;VO;inform;customer about delay;;
inform customer about low credit;;VO;inform;customer about low credit;;
inform customer about unavailable products;;VO;inform;customer about unavailable products;;
inform customer computer is repaired;;VO;inform;customer computer is repaired;;
inform customer it can't be fixed;;VO;inform;customer it can't be fixed;;
inform customer of reasons why rejected;;VO;inform;customer of reasons why rejected;;
inform customer of rejection;;VO;inform;customer of rejection;;
inform customer of rejection;;VO;inform;customer of rejection;;
inform customer of rejection;;VO;inform;customer of rejection;;
inform customer of repair;;VO;inform;customer of repair;;
inform customer on availability of part;;VO;inform;customer on availability of part;;
inform customer on non availability of part;;VO;inform;customer on non availability of part;;
inform customer part is availible for collection;;VO;inform;customer part is availible for collection;;
inform customer that it cannot be fixed;;VO;inform;customer that it cannot be fixed;;
inform customercomputer is fixed;;VO;inform;customercomputer is fixed;;
inform customercomputerfinished;;VO;inform;customercomputerfinished;;
inform customerto collect parts;;VO;inform;customerto collect parts;;
inform departments;;VO;inform;departments;;
inform engineering department;;VO;inform;engineering department;;
inform if the resolution worked or not;;VO;inform;if the resolution worked or not;;
inform manager;;VO;inform;manager;;
inform our client about short delay;;VO;inform;our client about short delay;;
inform passenger regarding lags;;VO;inform;passenger regarding lags;;
inform reject reason;;VO;inform;reject reason;;
inform storehouse;;VO;inform;storehouse;;
inform storehouse / engineering;;VO;inform;storehouse / engineering;;
inform student about being accepted;;VO;inform;student about being accepted;;
inform the customer of cost and stock status;;VO;inform;the customer of cost and stock status;;
inform the student that does not have the rights for the reinbursment;;VO;inform;the student that does not have the rights for the reinbursment;;
inform the students;;VO;inform;the students;;
information;;NA;;;;
information correct?;;GATEWAY;correct?;information;;
informational meeting with costumer;;NA;costumer;informational meeting with;;
ingredient categorization;;AN;categorization;ingredient;;
initial assessment;;AN;assessment;;;
initial consulting;;AN;consulting;;;
initial diagnosis;;AN;diagnosis;;;
initial draft 5 days;;NA;;initial draft 5 days;;
initial education (sp0);;AN;education;;;
initial invoice control;;AN;control;invoice;;
initial processing;;AN;processing;initial;;
initial validation of claim;;AN;validation;of claim;;
initialize loan form;;VO;;loan form;initialize;
initiate credit decision;;VO;;credit decision;initiate;
initiate project;;VO;;project;initiate;
initiate search;;VO;;search;initiate;
innovative solution offerings;;NA;offerings;innovative solution;;
input booking details into booking sheet and save;;VO;;booking details into booking sheet and save;input;
input list;;VO;;list;input;
input student details into database;;VO;;student details into database;input;
input the email address(s);;VO;;the email address(s);input;
inquire about mortgage;;VO;;about mortgage;inquire;
inquiry reception;;AN;reception;inquiry;;
insert available dates;;VO;;available dates;insert;
insert information about client;;VO;;information about client;insert;
insert into employee database;;VO;;into employee database;insert;
insert message title;;VO;;message title;insert;
insert metadata;;VO;;metadata;insert;
insert money to bank account;;VO;;money to bank account;insert;
insert the answer to the help desk database;;VO;;the answer to the help desk database;insert;
insert user as incactive;;VO;;user as incactive;insert;
inspect offer made;;VO;;offer made;inspect;
inspection of goods;;AN;inspection;of goods;;
inspectors can directly enter data and inspection details into the tablet;;DES / EVENT;enter;data and inspection details;;
insurance requirements inquiry;;AN;inquiry;insurance requirements;;
insurance risk assesment;;AN;assesment;insurance risk;;
insurance specification assesment;;AN;assesment;insurance specification;;
integration platform;;NA;platform;integration;;
integration test;;AN;test;integration;;
international division manufacturing;;AN;manufacturing;international division;;
interpretation;;AN;interpretation;;;
interview;;VO;interview;;;
interview patient;;VO;;patient;interview;
interview patients;;VO;;patients;interview;
interview with candidate;;VO;;with candidate;interview;
interviews;;NA;;;;
invent new company offer that compares;;VO;;new company offer that compares;invent;
inventory scan;;AN;scan;inventory;;
investigate application;;VO;;application;investigate;
investigate problem;;VO;;problem;investigate;
investigate the probelem;;VO;;the probelem;investigate;
investigate the problem;;VO;;the problem;investigate;
investigate the problem;;VO;investigate;the problem;;
investigate to the problem;;VO;;to the problem;investigate;
investigation and diagnosis;;AN;investigation   diagnosis;;;
invite applicant;;VO;;applicant;invite;
invite candidate for interview;;VO;;candidate for interview;invite;
invite candidates for interview;;VO;;candidates for interview;invite;
invite people by email;;VO;;people by email;invite;
invite professionals to attend the exam;;VO;;professionals to attend the exam;invite;
invite received;;DES / EVENT;received;invite;received;
invoice checked;;DES / EVENT;checked;invoice;checked;
invoice entered in sap;;DES / EVENT;entered;invoice;entered;
invoice for the payment of first fee;;VO;;for the payment of first fee;invoice;
invoice made based on information extras discount etc;;DES / EVENT;made;invoice;made;
invoice opened and categorised;;DES / EVENT;opened   categorised;invoice;opened / categorised;
invoice revised;;DES / EVENT;revised;invoice;revised;
invoice sent back to data entry officers;;DES / EVENT;sent back;invoice;sent back;
invoice sorted;;DES / EVENT;sorted;invoice;sorted;
invoice validation (process);;VO;;;;
invoice validation on from parked to validated on sap;;VO;;;;
invoice validation on sap;;AN;validation;invoice;on sap;
invoice verification;;AN;verification;invoice;;
invoices sorted;;DES / EVENT;sorted;invoices;;
is potential guarantee duplicity;;GATEWAY;duplicity;is potential guarantee;;
is the problem solved?;;GATEWAY;solved?;is the problem;;
is the quoteapproved?;;GATEWAY;quoteapproved?;is the;;
is the user logged in?;;GATEWAY;in?;is the user logged;;
iseries processes;;NA;processes;iseries;;
issue bill for tuition and fees;;VO;;bill for tuition and fees;issue;
issue letter of appointment;;VO;;letter of appointment;issue;
issue loan;;VO;;loan;issue;
issue materials;;VO;;materials;issue;
issue notification;;VO;;notification;issue;
issue parking ticket;;VO;;parking ticket;issue;
issue raw materials;;VO;;raw materials;issue;
issues inquiry;;DES / EVENT;issues;inquiry;;
issuing import permit;;AN;issuing;import permit;;
it design development & functional test;;AN;design   development   test;it;;
item categorization (aluminum foil etc);;AN;categorization;item;(aluminum foil etc.);
item categorization (surface cleaners etc);;AN;categorization;item;(surface cleaners etc.);
item identification and categorization process;;NA;process;item identification and categorization;;
item inspection;;AN;inspection;item;;
item inspection (before acceptance);;AN;inspection;item;(before acceptance);
iterative develop thesis;;VO;;thesis;develop;
iteratively develop annotated bibliography;;VO;;annotated bibliography;develop;
iteratively develop literature review;;VO;;literature review;develop;
iteratively develop project presentation;;VO;;project presentation;develop;
iteratively develop project proposal;;VO;;project proposal;develop;
itinerary;;NA;;;;
jogging program (t22);;NA;(t22);jogging program;;
join;;VO;join;;;
join now;;VO;;now;join;
join team;;VO;;team;join;
join the team;;VO;;the team;join;
journal entry;;NA;entry;journal;;
junior employee training;;AN;training;junior employee;;
keep a record of mistake;;VO;;a record of mistake;keep;
keep a record of the number of mistakes per data entry officer;;VO;;a record of the number of mistakes per data entry officer;keep;
keep errors number per data entry officer;;VO;;errors number per data entry officer;keep;
key in verification pin;;VO;;verification pin;key in;
kick off with customer pm and bdm;;VO;;with customer pm and bdm;kick off;
kitchen equipment;;NA;equipment;kitchen;;
knives;;NA;;;;
knowledge acquisition on industrial field;;AN;acquisition;knowledge;on industrial field;
land valuation check;;AN;check;land valuation;;
large tow leaves system 3 minutes;;DES / EVENT;leaves;system;leaves;
learning deployment;;AN;deployment;learning;;
learning design;;AN;design;learning;;
leave buyer feedback;;VO;;buyer feedback;leave;
leave drink at bar;;VO;;drink at bar;leave;
leave ebay;;VO;;ebay;leave;
leave hospital;;VO;;hospital;leave;
leave seller a feedback;;VO;;seller a feedback;leave;
leaves order at door sticks labels on respective boxes;;DES / EVENT;leaves, sticks;order, labels, boxes;;
line item production;;AN;production;line item;;
lines up in queue;;DES / EVENT;lines;up;;
link payclick account;;VO;;payclick account;link;
link to reports from ppt;;VO;;to reports from ppt;link;
list results;;VO;;results;list;
listen to lectures;;VO;;to lectures;listen;
lo: accept date;;VO;;date;accept;
lo: propose date;;VO;;date;propose;
load case data;;VO;;case data;load;
load inspection orders;;VO;;inspection orders;load;
load notifications;;VO;;notifications;load;
load paypal home page;;VO;;paypal home page;load;
load selected business form;;VO;;selected business form;load;
load selected sign up page;;VO;;selected sign up page;load;
load work orders;;VO;;work orders;load;
loading;;AN;loading;;;
loan checked;;DES / EVENT;checked;loan;checked;
loan granted and recieved;;DES / EVENT;granted received;loan;granted / received;
loan granted with 20% interest;;DES / EVENT;granted;loan;granted;
loan granted with 22.5% interest;;DES / EVENT;granted;loan;granted;
loan is checked and accepted;;DES / EVENT;checked accepted;loan;checked / accepted;
loan purpose verification;;AN;verification;loan purpose;;
loan refused;;DES / EVENT;refused;loan;refused;
loan request is created & sent to oracle database;;DES / EVENT;Created & sent;loan request;created / sent;
loan with 12.5 % interest will be checked;;DES / EVENT;checked;loan;will be checked;
lob approval;;AN;approval;lob;;
local production planning;;AN;planning;local production;;
local supply planning;;AN;planning;local supply;;
locate album;;VO;;album;locate;
locate invoice and all related documentation;;VO;;invoice and all related documentation;locate;
log exception;;VO;;exception;log;
log file;;VO;;file;log;
log in;;VO;;;log in;
log in;;VO;;;log in;
log in into bia website;;VO;;into bia website;log in;
log in sap;;VO;;sap;log in;
log in to trademe;;VO;;to trademe;log in;
log on to the sap system;;VO;;to the sap system;log on;
log out of petbook;;VO;;of petbook;log out;
logging and classification;;AN;logging   classification;;;
login;;VO;login;;;
login failed;;DES / EVENT;failed;login;failed;
login succeeded;;DES / EVENT;succeeded;login;suceeded;
login to sap;;VO;;to sap;login;
login to the system;;VO;;to the system;login;
login using username and password;;VO;;using username and password;login;
logistics incident resolution;;AN;resolution;logistics incident;;
logout;;VO;logout;;;
look at order;;VO;;at order;look;
look for coffee powder;;VO;;for coffee powder;look;
look for direct instances;;VO;;for direct instances;look;
look for hint in dbpedia ontology;;VO;;for hint in dbpedia ontology;look;
look for hint in yago ontology;;VO;;for hint in yago ontology;look;
look for hyponyms;;VO;;for hyponyms;look;
look over quote before submitting to customer;;VO;;over quote before submitting to customer;look;
look up client in sap system;;VO;;client in sap system;loop up;
look up sla;;VO;;sla;loop up;
look up the sla;;VO;;the sla;loop up;
look up the vendor of the invoice;;VO;;the vendor of the invoice;loop up;
look up vendor in sap seystem;;VO;;vendor in sap seystem;loop up;
look up vendor in sap system;;VO;;vendor in sap system;loop up;
look up vendor on sap;;VO;;vendor on sap;loop up;
lookup sla on excel file;;VO;;sla on excel file;lookup;
lower gate will close 3 minutes;;DES / EVENT;will close;lower gate;will close;
macroscopic description writing;;AN;writing;macroscopic description;;
mail check to educational institution;;VO;;check to educational institution;mail;
mail invoice;;VO;;invoice;mail;
mail scanned invoices to registry department for archiving;;VO;;scanned invoices to registry department for archiving;mail;
mailing out the applications to the victims who requested them;;AN;mailing out;the applications;to the victims who requested;
major incident edit;;VO;;incident edit;major;
major incident escalation;;VO;;major incident;escalation;
major incident procedure;;NA;;major incident procedure;;
make a comprehensive evaluation about himself & decide to extend or go for final exam;;VO;;a comprehensive evaluation about himself & decide to extend or go for final exam;make;
make a payment;;VO;;a payment;make;
make a qoute request;;VO;;a qoute request;make;
make a report for head office;;VO;;a report for head office;make;
make a study plan;;VO;;a study plan;make;
make a ticket with task;;VO;;a ticket with task;make;
make a time check;;VO;;a time check;make;
make administrative task;;VO;;administrative task;make;
make an assessment;;VO;;an assessment;make;
make appointment;;VO;;appointment;make;
make assessment;;VO;;assessment;make;
make automated payment;;VO;;automated payment;make;
make certification;;VO;;certification;make;
make changes & save;;VO;;changes;make / save;
make changes to roster;;VO;;changes to roster;make;
make decision;;VO;;decision;make;
make decision about participation;;VO;;decision about participation;make;
make drink;;VO;;drink;make;
make inspection decisson;;VO;;inspection decisson;make;
make invoice payment;;VO;;invoice payment;make;
make notices;;VO;;notices;make;
make offer (order);;VO;;offer (order);make;
make payment;;VO;;payment;make;
make payment to customer;;VO;;payment to customer;make;
make payment to vendor;;VO;;payment to vendor;make;
make photo copy and & archive application;;VO;;photo copy and & archive application;make;
make proposal;;VO;;proposal;make;
make qoute;;VO;;qoute;make;
make study plan according to the timetable his preference and his supervisor's suggestion as well;;VO;;;;
make the course;;VO;;the course;make;
make the course and give the grades;;VO;;the course / the grades;make / give;
make the decision;;VO;;the decision;make;
make the finanle decision based on the underlying key performance indicators;;VO;;the finanle decision based on the underlying key performance indicators;make;
make the invoice for payment;;VO;;the invoice for payment;make;
make the lessons and give grades;;VO;;the lessons / grades;make / give;
make the payment;;VO;;the payment;make;
make the sum of all recives;;VO;;the sum of all recives;make;
make themanifesto;;VO;;themanifesto;make;
make ticket as available;;VO;;ticket as available;make;
make verbal offer;;VO;;verbal offer;make;
makes a formal written offer to the candidate;;DES / EVENT;makes;a formal written offer;;
makes payment;;DES / EVENT;makes;payment;;
making inspection decision;;AN;making;inspection decision;;
making order;;AN;making;order;;
making sampling decision;;AN;making;sampling decision;;
manage account;;VO;;account;manage;
manage business setup;;VO;;business setup;manage;
manage case;;VO;;case;manage;
manage clubs;;VO;;clubs;manage;
manage clubs;;VO;;clubs;manage;
manage divisions;;VO;;divisions;manage;
manage event - u*ad-hoc*;;VO;;event - u*ad-hoc*;manage;
manage event*ad-hoc*;;VO;;event*ad-hoc*;manage;
manage external advertising;;VO;;external advertising;manage;
manage incidents;;VO;;incidents;manage;
manage leagues;;VO;;leagues;manage;
manage mol;;VO;;mol;manage;
manage mol payments;;VO;;mol payments;manage;
manage receipt of applications;;VO;;receipt of applications;manage;
manage received applications;;VO;;received applications;manage;
manage seasons;;VO;;seasons;manage;
manage user and player registration;;VO;;user and player registration;manage;
management assessment of cr;;AN;assessment;management;of cr;
management escalation;;AN;escalation;management;;
management of hypertension;;AN;management;of hypertension;;
manager approval;;AN;approval;manager;;
manual book attraction;;AN;;book attraction;manual;
manual booking;;AN;booking;manual;;
manual booking;;AN;booking;;;
manual credit report is created;;DES / EVENT;created;manual credit report;created;
manual task;;NA;task;manual;;
manuall attraction booking;;AN;booking;attraction;;
manually;;NA;;;;
manually check roster;;VO;;roster;check;
manually review purchase invoice;;VO;;purchase invoice;review;
manufacture motorcycle;;VO;;motorcycle;manufacture;
manufacture motorcycles;;VO;;motorcycles;manufacture;
manufacture pet food;;VO;;pet food;manufacture;
manufacture product;;VO;;product;manufacture;
manufacturing;;AN;manufacturing;;;
manufacturing order;;NA;order;manufacturing;;
mark invoice as entered correctly;;VO;;invoice as entered correctly;mark;
mark invoice status as validated in sap;;VO;;invoice status as validated in sap;mark;
mark payment date;;VO;;payment date;mark;
mark record as archived;;VO;;record as archived;mark;
mark request complete;;VO;;request complete;mark;
mark request completed;;VO;;request completed;mark;
mark task as unresolved;;VO;;task as unresolved;mark;
market research;;AN;research;market;;
marketing review;;AN;review;marketing;;
marketing review 3 days;;AN;review;marketing;3 days;
master production scheduling;;AN;scheduling;master production;;
material staging for engine;;AN;staging;material;for engine;
material staging for motorcycle;;AN;staging;material;for motorcycle;
materials lists;;NA;;materials lists;;
materiel requirement planning (mrp);;AN;planning;materiel requirement;(mrp);
measure blood pressure;;VO;;blood pressure;measure;
meat;;NA;;;;
meeting;;NA;;;;
meeting for the contract signature;;AN;meeting;for the contract signature;;
member login;;AN;login;member;;
merchant services;;NA;services;merchant;;
message to customer;;AN;;message;message;
metadata;;NA;;;;
microscopic examination and diagnosis;;AN;examination   diagnosis;;;
milk;;NA;;milk;;
minor fix of product;;AN;fix;of product;;
mix noodles with tomato sauce;;VO;;noodles with tomato sauce;mix;
modeling a generic process;;AN;modeling;a generic process;;
modeling a reference process;;AN;modeling;a reference process;;
modeling process (as is);;AN;modeling;process;(as is);
modification of process (to be);;AN;modification;of process;(to be);
modify applicaiton;;VO;;application;modify;
modify change form;;VO;;change form;modify;
modify process description and models;;VO;;process description and models;modify;
monitor advertising outcome (impact financial new customers ...) and feelings;;VO;;advertising outcome (impact financial new customers ...) and feelings;monitor;
monitor and control the testing process;;VO;;the testing process;monitor / control;
monitor process execution;;VO;;process execution;monitor;
monitoring & enhancing;;AN;monitoring   enhancing;;;
monitoring and review;;AN;monitoring   review;;;
motorcycle assembly;;AN;assemble;motorcycle;motorcycle;
motorcycle details / picking confirmation;;AN;confirm;motorcycle details picking;;
move cargo to warehouse;;VO;;cargo to warehouse;move;
move goods from warehouse to production floor;;VO;;goods from warehouse to production floor;move;
move goods to check site;;VO;;goods to check site;move;
move goods to warehosue;;VO;;goods to warehosue;move;
move goods to warehouse;;VO;;goods to warehouse;move;
move manufactured motorcycles to warehouse for storage;;VO;;manufactured motorcycles to warehouse for storage;move;
move materials to the production floor;;VO;;materials to the production floor;move;
move produced motorcycle to warehouse;;VO;;produced motorcycle to warehouse;move;
move to the administration;;VO;;to the administration;move;
move to wf;;VO;;to wf;move;
moved to administration for completion;;DES / EVENT;moved;to administration;;
mrp run;;AN;run;mrp;;
ms access;;NA;access;ms;;
ms excel worksheet;;NA;worksheet;ms excel;;
ms project;;NA;project;ms;;
ms word;;NA;word;ms;;
must be done manually;;VO;;be done manually;must;
my account;;NA;account;my;;
native title check;;AN;check;native title;;
navigate to the petbook website;;VO;;to the petbook website;navigate;
nciic check;;AN;check;nciic;;
nciic information check;;AN;check;nciic information;;
nciic photo check;;AN;check;nciic photo;;
need signature;;VO;;signature;need;
negative;;NA;;negative;;
negotiate with potential suppliers;;VO;;with potential suppliers;negotiate;
new account notice received;;DES / EVENT;received;new account notice;received;
new business creation;;AN;creation;new business;;
news;;NA;;;;
no answers received;;DES / EVENT;received;no answers;;
no desert;;DES / EVENT;desert;;;
no dessert;;DES / EVENT;dessert;;;
no new position created;;DES / EVENT;created;new position;created;
no self declaration;;DES / EVENT;declaration;;;
noisy breathing;;AN;breathing;;;
non urgent invoices;;NA;;non urgent invoices;;
normal flow step;;NA;step;normal flow;;
normalize label;;VO;;label;normalize;
northern cdc;;NA;cdc;northern;;
not approved by manager;;DES / EVENT;not approved;manager;;
not available;;DES / EVENT;not available;;;
not implemented;;DES / EVENT;not implemented;;;
note sap vendor number on invoice;;VO;;sap vendor number on invoice;note;
note vendor number on entry form;;VO;;vendor number on entry form;note;
notify;;VO;notify;;;
notify about receipt;;VO;;about receipt;notify;
notify about the outcone;;VO;;about the outcone;notify;
notify advertisment is published;;VO;;advertisment is published;notify;
notify advisor by email;;VO;;advisor by email;notify;
notify approved;;VO;;approved;notify;
notify client;;VO;;client;notify;
notify cs;;VO;;cs;notify;
notify customer;;VO;;customer;notify;
notify customer;;VO;;customer;notify;
notify customer about failed debiting;;VO;;customer about failed debiting;notify;
notify customer about product shipping;;VO;;customer about product shipping;notify;
notify customer about rejection;;VO;;customer about rejection;notify;
notify customer about successful cancellation;;VO;;customer about successful cancellation;notify;
notify director;;VO;;director;notify;
notify engeneering;;VO;;engeneering;notify;
notify engineering department;;VO;;engineering department;notify;
notify francesca;;VO;;francesca;notify;
notify funder by email;;VO;;funder by email;notify;
notify headquarter of goods to be ordered;;VO;;headquarter of goods to be ordered;notify;
notify not valid reason;;VO;;not valid reason;notify;
notify other agencies of position (if applicable);;VO;;other agencies of position (if applicable);notify;
notify outcome of the test;;VO;;outcome of the test;notify;
notify passenger for overweight issue;;VO;;passenger for overweight issue;notify;
notify penalty to customer;;VO;;penalty to customer;notify;
notify publishment of advertisment;;VO;;publishment of advertisment;notify;
notify recruitment agency;;VO;;recruitment agency;notify;
notify recruitment manager;;VO;;recruitment manager;notify;
notify rejected and reason;;VO;;rejected and reason;notify;
notify rejection;;VO;;rejection;notify;
notify rejection report;;VO;;rejection report;notify;
notify student;;VO;;student;notify;
notify students [2 min each];;VO;;students [2 min each];notify;
notify support;;VO;;support;notify;
notify that testing has been finished;;VO;;that testing has been finished;notify;
notify the user;;VO;;the user;notify;
notify tutor;;VO;;tutor;notify;
notify unsuccessful candidates & determine the terms & conditions of the offer to the selected candidate;;VO;;unsuccessful candidates & determine the terms & conditions of the offer to the selected candidate;notify;
notify updated invoice for each orders;;VO;;updated invoice for each orders;notify;
oat;;NA;;;;
objection / proceedings;;NA;proceedings;objection /;;
obtain account details;;VO;;account details;obtain;
obtain employee's executive director approval;;VO;;employee's executive director approval;obtain;
obtain employee's manager approval;;VO;;employee's manager approval;obtain;
obtain tickets;;VO;;tickets;obtain;
obtaining import license;;AN;obtaining;import license;;
offer appointment;;VO;;appointment;offer;
offer for additional charge;;VO;;for additional charge;offer;
offer for reduce the baggage weight;;VO;;for reduce the baggage weight;offer;
offer free servoce slot;;VO;;free servoce slot;offer;
offer immediate help;;VO;;immediate help;offer;
offer supplementary information;;VO;;supplementary information;offer;
offer to client lucrative insurance by phone;;VO;;to client lucrative insurance by phone;offer;
official course;;NA;course;official;;
offload passenger in system;;VO;;passenger in system;offload;
one way flight;;NA;flight;one way;;
online checkout;;AN;check out;;;
online consulting (sp1);;AN;consulting;;(sp1);
open and categorise invoice (0.5 mins);;VO;;invoice (0.5 mins);open / categorise;
open booking sheet;;VO;;booking sheet;open;
open current account with credit;;VO;;current account with credit;open;
open current account without credit;;VO;;current account without credit;open;
open document;;VO;;document;open;
open existing customer file;;VO;;existing customer file;open;
open file;;VO;;file;open;
open home page &search bar;;VO;;home page &search bar;open;
open mail;;VO;;mail;open;
open new case;;VO;;new case;open;
open paypal website;;VO;;paypal website;open;
open savings account;;VO;;savings account;open;
open shared document;;VO;;shared document;open;
open sign up page;;VO;;sign up page;open;
open the envelopes;;VO;;the envelopes;open;
open the gate;;VO;;the gate;open;
open ticket;;VO;;ticket;open;
open time deposits;;VO;;time deposits;open;
opens and categorizes mail (5 mins);;DES / EVENT;opens  categorizes;mail;;
operations & executions;;NA;executions;operations &;;
order;;VO;order;;;
order a pizza;;VO;;a pizza;order;
order and receive part from disuki;;VO;;part from disuki;order / receive;
order archiving;;AN;archiving;order;;
order booking: formal order placement;;AN;booking;order;formal order placement;
order cancellation;;AN;cancellation;order;;
order change;;AN;change;order;;
order changes;;NA;;order changes;;
order complete;;DES / EVENT;complete;order;;
order configuration;;AN;configuration;order;;
order confirmation;;AN;order;confirmation;order;
order confirmation;;AN;confirmation;order;;
order drinks for you and your friends;;VO;order;drinks for you and your friends;;
order goods;;VO;order;goods;;
order goods directly at manufacturer;;VO;order;goods directly at manufacturer;;
order history;;NA;;order history;;
order main dish;;VO;order;main dish;;
order missing documents from customer;;VO;order;missing documents from customer;;
order missing products from supplier;;VO;order;missing products from supplier;;
order packing;;AN;packing;order;;
order part;;VO;order;part;;
order placed;;DES / EVENT;placed;order;;
order processing;;AN;processing;order;;
order rejection;;AN;rejection;order;;
order settlement;;AN;settlement;order;;
order shipped;;DES / EVENT;shipped;order;;
order the transfer;;VO;order;the transfer;;
order tiramisu;;VO;order;tiramisu;;
order to control health;;VO;order;to control health;;
order to dispatch;;VO;order;to dispatch;;
order unavailable materials;;VO;order;unavailable materials;;
order verification;;AN;verification;order;;
order wine;;VO;order;wine;;
organise disbursement;;VO;organise;disbursement;;
organize labels;;VO;organize;labels;;
other;;NA;;;;
other competitors? (china india etc.);;GATEWAY;etc.);other competitors? (china india;;
other markets? (japan etc.);;GATEWAY;etc.);other markets? (japan;;
outbond delivery;;AN;delivery;outbond;;
outbound delivery with order reference;;AN;delivery;outbound;with order;
outer subprocess;;NA;subprocess;outer;;
outlook;;AN;outlook;;;
overnight mail to a property inspector who will inspect the property;;VO;overnight;mail to a property inspector who will inspect the property;;
overwrite previously saved document;;VO;overwrite;previously saved document;;
overwrite previously saved file;;VO;overwrite;previously saved file;;
pack into boxes;;VO;pack;into boxes;;
package;;VO;package;;;
package applications and documents;;VO;package;applications and documents;;
package equipment / kitchen equipment;;VO;package;equipment / kitchen equipment;;
package goods;;VO;package;goods;;
package motorcycle;;VO;package;motorcycle;;
package products;;VO;package;products;;
packaging equipment;;AN;packaging;equipment;;
packaging item;;AN;packaging;item;;
packing;;AN;packing;;;
paid vendor;;DES / EVENT;paid;vendor;;
parcel check;;AN;check;parcel;;
parents;;NA;;;;
parents section;;NA;section;parents;;
part list processed;;DES / EVENT;processed;part list;;
partner updates and sends to faculty;;DES / EVENT;updates   send;to faculty;;
parts collected;;DES / EVENT;collected;parts;;
parts issues;;NA;issues;parts;;
parts received;;DES / EVENT;received;parts;;
parts requested;;DES / EVENT;requested;parts;;
pass information to inventory team to transfer goods to production floor;;VO;pass;information to inventory team to transfer goods to production floor;;
pass position profile;;VO;pass;position profile;;
pass the gate;;VO;pass;the gate;;
pass through the gate;;VO;pass;through the gate;;
patient admission;;AN;admission;patient;;
patient choice;;NA;choice;patient;;
patient examination;;AN;examination;patient;;
patient gets a prescription;;DES / EVENT;gets;prescription;;
patient has a copy of a medical record made;;DES / EVENT;made;a copy of a medical record;;
patient inquiry;;AN;inquiry;patient;;
patient interview;;AN;interview;patient;;
patient is healthy;;DES / EVENT;is healthy;patient;;
patient's medical record sent to an ambulance;;DES / EVENT;sent;patient's medical record;;
pay;;VO;pay;;;
pay american express;;VO;pay;american express;;
pay bill;;VO;pay;bill;;
pay by cash;;VO;pay;by cash;;
pay by cheque;;VO;pay;by cheque;;
pay check to expert;;VO;pay;check to expert;;
pay expert;;VO;pay;expert;;
pay external expert;;VO;pay;external expert;;
pay fee;;VO;pay;fee;;
pay fees;;VO;pay;fees;;
pay for 100 computers;;VO;pay;for 100 computers;;
pay for coffee;;VO;pay;for coffee;;
pay for the claim;;VO;pay;for the claim;;
pay fro the ticket;;VO;pay;fro the ticket;;
pay invoice;;VO;pay;invoice;;
pay invoices;;VO;pay;invoices;;
pay remaining balance;;VO;pay;remaining balance;;
pay submitter;;VO;pay;submitter;;
pay the bill;;VO;pay;the bill;;
pay the expert expense;;VO;pay;the expert expense;;
pay the pizza;;VO;pay;the pizza;;
pay the professor;;VO;pay;the professor;;
pay the vendor;;VO;pay;the vendor;;
pay with bank account;;VO;pay;with bank account;;
pay with credit card;;VO;pay;with credit card;;
pay-or-not-to-pay decision;;AN;decision;pay-or-not-to-pay;;
payment;;AN;payment;;;
payment instruction;;AN;instruction;payment;;
payment of duties and taxes;;AN;payment;of duties and taxes;;
payment of duty;;AN;payment;of duty;;
payment process;;NA;process;payment;;
payment process;;NA;;payment process;;
payment received;;DES / EVENT;received;payment;;
payment received from amazon;;DES / EVENT;received;payment;;
payment report process;;NA;process;payment report;;
payment to supplier following invoice;;AN;payment;to supplier;following invoice;
payment to vendor;;AN;payment;to vendor;;
paypal;;NA;;;;
paypal account required;;DES / EVENT;required;paypal account;;
paypal offers registration;;DES / EVENT;offers;registration;;
paypal service offered;;DES / EVENT;offered;service;;
pays for application;;DES / EVENT;pays;application;;
pays vendor;;DES / EVENT;pays;vendor;;
pboc check;;AN;check;pboc;;
pending sessions;;NA;sessions;pending;;
perception;;AN;perception;;;
perform a work according to the role;;VO;perform;a work according to the role;;
perform assessment;;VO;perform;assessment;;
perform automatic rework;;VO;perform;automatic rework;;
perform catalogue search and return results;;VO;perform;catalogue search and return results;;
perform interview / s;;VO;perform;interview / s;;
perform material resource planning;;VO;perform;material resource planning;;
